id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
2015,2217,Ian,Mitte,Brunnenstr. Süd,52.5345373224175,13.4025569268224,Entire home/apt,60,4,118,4,141
2695,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.5485127922166,13.4045528265875,Private room,17,2,6,1,0
3176,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.5349961915867,13.4175786653333,Entire home/apt,90,62,143,1,220
3309,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.49885493313,13.3490645334872,Private room,26,5,25,1,297
7071,17391,Bright,Pankow,Helmholtzplatz,52.5431572633131,13.4150911045157,Private room,42,2,197,1,26
9991,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.5330307680268,13.4160468239564,Entire home/apt,180,6,6,1,137
14325,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.5478464079922,13.4055622437225,Entire home/apt,70,90,23,3,129
16401,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5105139960154,13.4578502381062,Private room,120,30,0,1,365
16644,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5047922738592,13.4351018538861,Entire home/apt,90,60,48,2,159
17409,67590,Wolfram,Pankow,Prenzlauer Berg Südwest,52.5290709246738,13.4128433939849,Private room,45,3,279,1,42
17904,68997,Matthias,Neukölln,Reuterstraße,52.4954763266239,13.4218212775367,Entire home/apt,49,5,223,1,232
20858,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.5369524319239,13.4076150326215,Entire home/apt,129,3,56,1,166
21869,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5027333340694,13.4346198578528,Entire home/apt,70,60,60,2,129
22415,86068,Kiki,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4948506198659,13.4285005981404,Entire home/apt,98,3,61,2,257
22677,87357,Ramfis,Mitte,Brunnenstr. Süd,52.5343483632202,13.4055765171914,Entire home/apt,160,3,223,1,228
23834,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4897144263237,13.379747575409,Entire home/apt,65,60,96,1,275
24569,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.5307908523084,13.4180844390199,Entire home/apt,90,3,18,2,3
25653,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.5302587362824,13.4194669622638,Entire home/apt,90,4,5,2,15
26543,112675,Terri,Pankow,Helmholtzplatz,52.5440623911969,13.4213765219883,Entire home/apt,197,3,163,1,336
28156,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.5467193681494,13.4051170213044,Entire home/apt,70,90,28,3,191
28268,121580,Elena,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.513385231841,13.4699475077797,Entire home/apt,90,5,30,1,55
28711,84157,Emanuela,Neukölln,Reuterstraße,52.4861061491348,13.4348169817069,Entire home/apt,60,2,1,10,341
29279,54283,Marine,Pankow,Helmholtzplatz,52.5417876499013,13.4238831588998,Entire home/apt,130,60,69,3,221
30295,485838,Michele,Pankow,Helmholtzplatz,52.5459672601899,13.4223588723536,Entire home/apt,100,4,240,4,296
31440,135046,Thomas,Pankow,Helmholtzplatz,52.5430892935274,13.4224530939918,Private room,44,1,28,1,361
33043,143180,Claudio&Irina,Mitte,Moabit Ost,52.5214179758149,13.3570822983891,Entire home/apt,62,3,144,1,343
35642,153252,Thorsten,Pankow,Prenzlauer Berg Nord,52.5493612550297,13.4182276696571,Entire home/apt,55,60,1,1,89
36480,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.5196765837824,13.3020887641416,Private room,40,1,33,2,297
37004,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.4933892413189,13.3648131350446,Private room,25,5,21,1,329
37052,149093,Rob,Mitte,Brunnenstr. Süd,52.5382203343465,13.4046252440401,Entire home/apt,52,2,307,2,25
37836,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4984723731291,13.4401318978101,Private room,39,1,161,2,120
38074,163384,Alan & Kasia,Pankow,Prenzlauer Berg Süd,52.5368011427639,13.4254663725287,Entire home/apt,80,84,102,10,221
38296,164310,Oliver,Neukölln,Schillerpromenade,52.4858626082932,13.4236190809207,Entire home/apt,80,10,6,1,310
40600,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4884422833108,13.4205998193232,Private room,50,3,50,2,0
41217,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.5364078673576,13.4123104489796,Private room,43,2,70,1,0
41306,179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.5302801756688,13.423478477243,Private room,40,1,1,1,0
42742,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4966675178124,13.4403397222318,Private room,36,1,25,2,217
42809,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51175980499,13.4553616797243,Entire home/apt,119,4,109,1,285
43123,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.5394625292909,13.4088340966129,Entire home/apt,90,5,65,2,186
44083,193038,Michaela,Treptow - Köpenick,Alt  Treptow,52.4904006962321,13.4408458963846,Private room,42,3,11,1,65
44423,194957,Robert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5088844654041,13.4563609763439,Private room,56,2,101,1,32
46161,201936,Giorgio,Pankow,Prenzlauer Berg Südwest,52.5325419463493,13.4098256604608,Private room,50,4,151,1,0
46172,206338,Heike,Mitte,Brunnenstr. Süd,52.5380897617501,13.4053648991127,Entire home/apt,48,60,38,2,264
47938,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.5321907593128,13.4198752453221,Entire home/apt,160,3,35,1,32
48955,211722,Anne,Pankow,Prenzlauer Berg Südwest,52.5362670627786,13.4208127835494,Entire home/apt,70,4,0,1,129
52734,112446,Boris,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5112088070579,13.45727807196,Entire home/apt,88,5,5,1,0
54952,258697,Trent,Mitte,Alexanderplatz,52.5235930800927,13.387406366668,Private room,55,4,156,1,33
55298,261030,Edna,Tempelhof - Schöneberg,Schöneberg-Nord,52.4983793010391,13.3418156869006,Shared room,88,2,0,1,365
55455,261953,Clara,Mitte,Alexanderplatz,52.521145362296,13.4060832668591,Entire home/apt,90,2,1,1,67
55853,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.5034030116989,13.2920255270662,Entire home/apt,55,60,11,1,285
57049,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.5478678350677,13.4041673724323,Entire home/apt,200,3,81,3,68
57209,272286,Vilius,Mitte,Brunnenstr. Süd,52.5368309627313,13.3989665079505,Entire home/apt,80,3,160,1,264
57792,275784,Jo,Steglitz - Zehlendorf,Ostpreußendamm,52.4253098291226,13.3280616113794,Entire home/apt,49,2,3,1,0
58041,145808,Veronika,Mitte,Alexanderplatz,52.5277091011082,13.390902470147,Entire home/apt,55,90,72,1,352
58780,281614,Katja,Pankow,Prenzlauer Berg Süd,52.5342046665779,13.4267116691889,Entire home/apt,130,5,32,2,211
59249,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.540888680016,13.4094488141574,Entire home/apt,90,5,76,2,149
60161,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3782796904114,13.6527511492307,Entire home/apt,120,2,7,4,86
63052,307513,Shoshik,Neukölln,Neuköllner Mitte/Zentrum,52.4689212135707,13.4345410142087,Private room,37,6,96,2,347
63468,309364,Kreuzberger,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5035982836387,13.4320599213118,Entire home/apt,52,2,89,3,323
64245,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.5464988865313,13.4063294714675,Private room,44,3,45,2,123
64590,315681,Mirjam,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4949703256007,13.4239914946618,Entire home/apt,102,2,34,1,0
68142,337021,Dayna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5248935337621,13.4538573478857,Private room,29,2,70,1,58
68448,163384,Alan & Kasia,Pankow,Prenzlauer Berg Nord,52.5497981033072,13.4159596088677,Entire home/apt,84,3,220,10,315
